subid, subage, gender, group, code, cong, targ, resp, unknown, trial, block, Acc, RT, pause_time, ts_RT, diff,
102,25, F, adult, DDD,0,25,104,1,1,1,1,654.04,561.34,648.85,5.19, 
102,25, F, adult, ABA,1,28,100,1,2,1,1,705.28,903.19,702.27,3.01, 
102,25, F, adult, DCD,1,23,98,1,3,1,1,745.56,334.59,742.49,3.07, 
102,25, F, adult, BAB,1,34,102,1,4,1,1,681.39,790.01,678.39,3, 
102,25, F, adult, CCC,0,19,98,1,5,1,1,660.52,517.66,657.62,2.9, 
102,25, F, adult, AAA,0,30,102,1,6,1,1,513.14,284.9,510.36,2.78, 
102,25, F, adult, DDD,0,25,104,1,7,1,1,1296.11,415.34,1293.32,2.79, 
102,25, F, adult, BAB,1,34,102,1,8,1,1,653.13,364.46,649.82,3.31, 
102,25, F, adult, CDC,1,21,104,1,9,1,1,605.46,222.2,602.56,2.9, 
102,25, F, adult, AAA,0,30,102,1,10,1,1,509.17,497.98,506.18,2.99, 
102,25, F, adult, DCD,1,23,98,1,11,1,1,686.72,187.66,683.58,3.14, 
102,25, F, adult, AAA,0,30,102,1,12,1,1,411.87,388.08,409.01,2.86, 
102,25, F, adult, DDD,0,25,104,1,13,1,1,700.16,321.19,697.01,3.16, 
102,25, F, adult, AAA,0,30,102,1,14,1,1,452.35,250.72,449.05,3.3, 
102,25, F, adult, DDD,0,25,104,1,15,1,1,488.96,317.87,486.11,2.84, 
102,25, F, adult, BAB,1,34,102,1,16,1,1,816.79,448.92,813.62,3.17, 
102,25, F, adult, CDC,1,21,104,1,17,1,1,541.67,234.51,538.78,2.89, 
102,25, F, adult, BBB,0,32,100,1,18,1,1,662.71,151.81,659.59,3.12, 
102,25, F, adult, CDC,1,21,104,1,19,1,1,784.95,258.96,781.73,3.22, 
102,25, F, adult, AAA,0,30,102,1,20,1,1,441.75,239.07,438.86,2.89, 
102,25, F, adult, DDD,0,25,104,1,21,1,1,459.99,188.11,457.22,2.76, 
102,25, F, adult, ABA,1,28,100,1,22,1,1,779.52,303.14,776.56,2.96, 
102,25, F, adult, DDD,0,25,104,1,23,1,1,530.69,286.27,527.23,3.46, 
102,25, F, adult, ABA,1,28,100,1,24,1,1,832.84,250.63,829.47,3.37, 
102,25, F, adult, CCC,0,19,98,1,25,1,1,753.93,242.54,750.75,3.18, 
102,25, F, adult, BBB,0,32,100,1,26,1,1,672.59,246.76,669.49,3.09, 
102,25, F, adult, DDD,0,25,104,1,27,1,1,644.81,219.86,641.74,3.07, 
102,25, F, adult, BBB,0,32,100,1,28,1,1,482.62,192.31,479.63,2.99, 
102,25, F, adult, CDC,1,21,104,1,29,1,1,521.18,188.53,518.22,2.96, 
102,25, F, adult, BAB,1,34,102,1,30,1,1,572.73,343.78,567.92,4.81, 
102,25, F, adult, CDC,1,21,104,1,31,1,1,593.66,218.7,590.61,3.05, 
102,25, F, adult, BAB,1,34,102,1,32,1,1,713.58,231.31,710.74,2.84, 
102,25, F, adult, CCC,0,19,98,1,33,1,1,691.25,258.13,688.26,2.99, 
102,25, F, adult, AAA,0,30,102,1,34,1,1,679.51,221.95,676.4,3.11, 
102,25, F, adult, CCC,0,19,98,1,35,1,1,685.85,242.31,682.96,2.88, 
102,25, F, adult, AAA,0,30,102,1,36,1,1,496.3,246.03,492.58,3.71, 
102,25, F, adult, DDD,0,25,104,1,37,1,1,710.55,249.09,704.36,6.18, 
102,25, F, adult, BAB,1,34,102,1,38,1,1,718.53,282.15,715.61,2.92, 
102,25, F, adult, CCC,0,19,98,1,39,1,1,717.2,211.31,714.33,2.88, 
102,25, F, adult, AAA,0,30,102,1,40,1,1,490.81,111.6,488.09,2.72, 
102,25, F, adult, CDC,1,21,104,1,41,1,1,811.52,187.89,807.68,3.84, 
102,25, F, adult, AAA,0,30,102,1,42,1,1,529.96,200.62,521.58,8.38, 
102,25, F, adult, DDD,0,25,104,1,43,1,1,728.48,268.08,725.4,3.09, 
102,25, F, adult, BAB,1,34,102,1,44,1,1,637.1,281.02,634.08,3.02, 
102,25, F, adult, DCD,1,23,98,1,45,1,1,751.46,224.27,748.02,3.44, 
102,25, F, adult, BBB,0,32,100,1,46,1,1,606.46,231.22,603.63,2.83, 
102,25, F, adult, DCD,1,23,98,1,47,1,1,685.83,219.01,682.95,2.88, 
102,25, F, adult, BBB,0,32,100,1,48,1,1,1321.12,358.03,1318.24,2.87, 
102,25, F, adult, DDD,0,25,104,1,49,1,1,591.9,217.14,588.61,3.29, 
102,25, F, adult, BAB,1,34,102,1,50,1,1,576.63,242.14,573.55,3.08, 
102,25, F, adult, CDC,1,21,104,1,51,1,1,673.72,271.19,670.8,2.92, 
102,25, F, adult, ABA,1,28,100,1,52,1,1,618.93,283.55,615.68,3.25, 
102,25, F, adult, CDC,1,21,104,1,53,1,1,496.08,205.43,493.02,3.07, 
102,25, F, adult, AAA,0,30,102,1,54,1,1,544.62,208.27,541.58,3.03, 
102,25, F, adult, CDC,1,21,104,1,55,1,1,696.41,269.34,693.48,2.93, 
102,25, F, adult, AAA,0,30,102,1,56,1,1,396.55,228.19,392.31,4.23, 
102,25, F, adult, DDD,0,25,104,1,57,1,1,370.55,164.89,365.95,4.6, 
102,25, F, adult, BAB,1,34,102,1,58,1,1,596.93,247.26,593.76,3.18, 
102,25, F, adult, CDC,1,21,104,1,59,1,1,523.01,216.94,519.72,3.3, 
102,25, F, adult, BAB,1,34,102,1,60,1,1,470.3,270.9,467.26,3.03, 
102,25, F, adult, DDD,0,25,104,1,61,1,1,354.47,237.53,351.67,2.81, 
102,25, F, adult, BBB,0,32,100,1,62,1,1,581.69,86.03,577.47,4.22, 
102,25, F, adult, CDC,1,21,104,1,63,1,1,460.44,216.36,456.35,4.08, 
102,25, F, adult, AAA,0,30,102,1,64,1,1,511.69,100.62,507.45,4.24, 
